,SAG Power,SAG Specific Energy,SAG Fresh Feed,SAG Feed F80,SAG Feed F80 Mixed,SAG Feed F80 diff,R/F ratio,SAG Feed Density,SAG Feed Water,SAG Total Feed Rate,SAG Main Bearing Pressure,SAG Microphone Sensor,SAG Charge Softsensor,SAG Screen Motor Currency,SAG Recycling load,Crusher Feed F80,Crusher Power,Crusher Feed Rate,Crusher Wasted,Crusher Product P80,Crusher Specific Energy
0,13061.0,7.254551382563859,1799.3870000000002,50.09603899999999,42.85455693846071,7.24148206153928,0.20914511441952152,0.5811618428834038,1567.0220000000002,2175.72,6978.284,105.5644,75.08753,34.86245,376.33299999999963,32.155879999999996,340.5576,293.6094,0.8014038,15.47184,0.7171350781003605
1,13065.0,7.258047043699943,1799.0710000000001,51.178079,43.8167170960668,7.361361903933194,0.2068895557762868,0.5810743002115524,1564.385,2171.28,6971.0035,105.2055,74.4275,34.58802,372.20900000000006,32.155879999999996,323.3857,290.6904,0.8014038,15.596960000000001,0.6652634555527117
2,13065.0,7.2306119704399965,1805.901,50.68328699999999,43.4625975697206,7.220689430279393,0.20623112784144854,0.5818075468472895,1564.746,2178.334,6962.861000000001,105.286,74.97179,34.5517,372.43299999999977,32.155879999999996,337.9702,293.9982,0.8073548,15.670679999999999,0.7073859635875321
3,13088.0,7.27132521124233,1798.9470000000001,52.637436,44.91537587853895,7.722060121461048,0.20989890196876268,0.5819835545173738,1562.328,2176.544,6977.3165,105.3056,74.28235,34.46761,377.59699999999975,32.155879999999996,334.6761,294.4713,0.8073548,15.84801,0.6950629823687403
4,13084.0,7.276525197832614,1797.111,50.45839539999999,43.25379234477692,7.204603055223075,0.20943336276946709,0.5812606872693061,1564.776,2173.486,6979.231,105.5781,75.06024000000001,34.65175,376.3749999999998,32.2398,339.4626,300.1227,0.8053712,16.05794,0.6979232160712935
5,13105.0,7.2553070868931675,1805.264,51.611656999999994,44.2845268070465,7.327130192953497,0.20694812503877563,0.5814692341913069,1567.3029999999999,2178.86,6973.0245,105.3983,74.24214,34.846070000000005,373.59600000000023,32.24228,343.2621,296.8537,0.8033875,16.206020000000002,0.7184080912584212
6,13118.0,7.257240920703662,1806.5739999999998,50.824256999999996,43.422324272239045,7.401932727760951,0.2137227702823134,0.5823843527432234,1571.325,2192.68,6977.4005,105.1557,73.64019,34.81416,386.106,32.22377,347.8709,298.7679,0.8053712,16.190920000000002,0.729231286225863
7,13147.0,7.227124778532906,1818.119,53.0822408,45.2402400897488,7.842000710251199,0.21172376505608273,0.5889827042015845,1536.388,2203.058,6969.868,105.5204,70.65619000000001,35.058240000000005,384.9390000000001,32.22377,361.5638,306.2156,0.8073548,16.04341,0.7562116365070886
8,13162.0,7.12026771600724,1847.526,53.4815288,45.29477458105422,8.18675421894578,0.21697394245060692,0.5919061433806495,1549.1689999999999,2248.391,6982.745,105.2509,68.32986,35.71385,400.865,32.22377,402.7722,325.7677,0.8014038,15.750020000000001,0.8373211954408003
9,13193.0,7.101670208619972,1856.7320000000002,55.27677539999999,46.5938661211241,8.68290927887589,0.21754728199869441,0.5918878966456547,1557.745,2260.659,6993.182,104.8258,65.72749,35.53087,403.9269999999999,32.23788,404.0632,325.9938,0.8073548,15.36403,0.840700651362081
10,13200.0,7.065363713683629,1867.269,53.4811732,44.7453120446978,8.735861155302203,0.22820761229367584,0.5929415110559552,1573.431,2293.394,7010.436,104.5798,64.78558000000001,36.26585,426.1249999999998,32.21356,442.1167,347.3253,0.8093385000000001,15.20085,0.8986293253039729
11,13210.0,7.064122014125036,1869.013,52.8551902,44.255326851381234,8.599863348618769,0.22683630343930195,0.5911907671054799,1584.594,2292.973,6989.120500000001,104.3369,64.3604,35.96875,423.96000000000004,32.21734,450.3694,340.8654,0.8073548,14.94299,0.9398706938281209
12,13194.0,7.0379561015889545,1873.692,53.2144478,44.586179636806804,8.628268163193198,0.22724706088300517,0.5927818002912502,1578.656,2299.4829999999997,6999.789,104.9235,63.60337,35.9234,425.7909999999997,32.22722,425.2744,336.9397,0.8113222,15.245779999999998,0.8763419686074393
13,13179.0,7.058082572978774,1866.221,54.1009586,45.19144476381585,8.909513836184146,0.22950604456814075,0.5918444412230965,1581.384,2294.53,6998.3369999999995,104.4514,63.93331,36.2523,428.3090000000002,32.19623,440.4358,344.6959,0.8053712,15.28057,0.9006077530948293
14,13163.0,7.015185801430218,1875.358,50.6018292,42.72187864265361,7.87995055734639,0.2247410894346573,0.5941175116381514,1568.121,2296.828,6993.834,104.9043,65.85716,35.9909,421.47,32.06708,435.8892,334.6446,0.8093385000000001,15.53948,0.9140718242577349
15,13216.0,7.040820349334649,1876.0539999999999,53.041296,44.68821857362848,8.35307742637152,0.22581386250075952,0.6014914270798296,1522.625,2299.6929999999998,6989.4995,104.9723,64.01866,36.04895,423.6389999999999,32.02071,421.8705,338.85,0.8014038,16.05031,0.8613560572524716
16,13235.0,7.284521808432763,1815.866,53.936569799999994,44.9737844889124,8.962785311087593,0.23701253286310764,0.5988719739788845,1503.5510000000002,2246.249,7015.128,105.0642,64.2625,36.11173,430.3829999999998,32.06411,445.8558,344.1246,0.8113222,16.120910000000002,0.9178530102178106
17,13242.0,7.54934266786769,1753.06,54.85061419999999,45.879366479070534,8.971247720929455,0.24018173935860718,0.6000946742295643,1447.8370000000002,2174.113,6999.094499999999,105.3266,65.35418,35.376129999999996,421.0529999999999,32.05684,372.8908,313.3509,0.8053712,17.4987,0.7751399469412725
