Time;FEEDER #1 P80;FEEDER #2 P80;FEEDER #3 P80;NEW FEED BELT SCALE;NEW FEED P80;PEBBLE PRODUCT F80;SAG MILL FEED DENSITY;SM. PROC WATER FLOW;SM Total Feed Rate (Tonnage);Motor 1 Torque Real;Mill Power;SM Main Bearing FE (RHS) Pressure;SM Main Bearing DE (RHS) Pressure;Mill Speed Actual;SAG Mill Motors;SAG % Critical Speed;SAG Microphone #1;SAG PMD % Sound;CV2 Camera Pebbles;SM Scrn/Disch PB Wtr Flow;SAG SCRN MOT CUR;PEB CRUSHER POWER;PEB CV #1 BELT SCALE;PEBBLE CRUSHER GAP;PEB CV #6 WEIGHTOMETER
20-03-2019 05:33;2.155809;1.938419;2.449354;1726.562;2.070542;25.59019;62;1127.581;1992.035;91.165;12552.5;7313.58;6506.115;10.49;104;78.74015;106.4637;53.82867;39.96842;375;34.16467;226.45;235.0553;17.98401;0.733959
20-03-2019 05:33;2.148498;1.915213;2.458712;1715.297;2.057424;25.56796;62;1123.842;2019.501;91.28667;12613.33;7344.861;6542.341;10.48667;104;78.75892;106.1891;52.7097;39.96842;375;34.13247;228.7343;238.864;17.98401;0.7413977
20-03-2019 05:33;2.156611;1.927599;2.461036;1742.031;2.068988;25.50694;62;1133.379;1993.797;91.02666;12560;7336.305;6491.702;10.48333;104;78.70261;106.4027;52.65193;39.96842;375;34.03162;222.1775;237.8126;17.98401;0.733959
20-03-2019 05:33;2.177904;1.959372;2.464119;1717.43;2.091207;25.39384;62;1122.067;1995.27;91.2275;12575;7295.168;6543.463;10.495;104;78.73389;106.9927;51.53599;39.97831;375;33.9939;227.4571;239.7004;17.98401;0.733959
20-03-2019 05:33;2.191836;1.925872;2.466597;1704.204;2.077486;25.40789;62;1114.112;2014.237;91.26;12590;7286.366;6482.303;10.47333;104;78.72137;106.2481;51.22296;39.9882;375;33.78717;230.0145;237.8589;17.98401;0.7471834
20-03-2019 05:34;2.181798;1.949933;2.47802;1712.474;2.091253;25.38767;62;1117.037;1991.165;90.95667;12530;7311.616;6539.816;10.4875;104;78.66882;105.9388;51.78775;39.9882;375;33.81131;224.9668;240.1509;17.98401;0.7711528
20-03-2019 05:34;2.17863;1.943775;2.474268;1708.888;2.086408;25.10678;62;1110.267;2017.121;91.00333;12550;7336.725;6490.018;10.47;104;78.73389;105.5703;50.46984;39.96787;375;33.89381;223.0198;239.4913;17.98401;0.7405712
20-03-2019 05:34;2.189417;1.990644;2.473019;1726.173;2.114541;24.99592;62;1116.452;1996.964;91.22501;12582.5;7308.004;6542.727;10.4875;104;78.68384;106.6509;48.57761;39.96787;375;33.84552;225.4673;236.9299;17.98401;0.7389181
20-03-2019 05:34;2.213839;2.004732;2.473362;1728.832;2.136458;24.92608;62;1119.142;2029.709;91.39333;12590;7294.502;6521.44;10.485;104;78.70887;106.511;47.88716;39.96787;375;33.83747;225.0694;231.2202;17.98401;0.7418936
20-03-2019 05:34;2.242635;2.032861;2.480922;1723.583;2.155595;24.76985;62;1123.003;1994.324;91.58666;12596.67;7279.913;6559.174;10.475;104;78.70261;105.9388;46.82907;39.96787;375;33.97692;222.5986;234.8669;17.98401;0.7488365
20-03-2019 05:34;2.252412;2.041892;2.492649;1710.494;2.16593;24.73212;62;1123.654;1989.166;91.5525;12587.5;7321.744;6514.952;10.49333;104;78.79646;107.0863;46.36293;39.96787;375;33.92601;228.6351;236.6092;17.98401;0.7587548
20-03-2019 05:35;2.252802;2.035405;2.497964;1723.415;2.159734;24.80756;62;1118.507;2003.128;91.14333;12596.67;7344.861;6485.95;10.49;104;78.74015;106.5807;46.32631;39.96787;375;33.96975;223.3005;236.7613;17.98401;0.763714
20-03-2019 05:35;2.244131;2.031094;2.504585;1711.547;2.157143;24.94302;62;1120.195;1996.118;91.59;12610;7308.389;6531.961;10.49;104;78.77769;106.1357;45.87292;39.96787;375;34.15933;222.06;243.0148;17.98401;0.7661936
20-03-2019 05:35;2.237023;2.025926;2.503203;1708.904;2.151695;24.97409;62;1116.452;2005.661;91.38;12600;7294.783;6560.717;10.4875;104;78.75892;105.536;47.88474;39.96787;375;33.88979;228.7511;247.4599;17.98401;0.7471834
20-03-2019 05:35;2.245031;2.028768;2.507836;1700.858;2.155185;24.97364;62;1120.663;2003.494;91.1025;12552.5;7290.434;6511.586;10.49333;104;78.68384;105.9866;49.95984;39.96787;375;33.82942;224.1184;240.1104;17.98401;0.7488365
20-03-2019 05:35;2.262742;2.045824;2.508586;1726.299;2.173178;24.96675;62;1123.491;2009.949;91.35667;12546.67;7320.032;6473.325;10.485;104;78.72889;107.0871;50.94024;39.96787;375;33.73109;224.0421;240.1104;17.98401;0.7537957
20-03-2019 05:35;2.279261;2.059695;2.503523;1702.785;2.184834;25.03573;62;1121.314;1992.744;91.30667;12586.67;7351.594;6544.866;10.48667;104;78.73389;106.0843;48.23734;39.96787;375;33.98921;222.739;238.7945;17.98401;0.7379263
